StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A_VE_AW_1,A_VE_AW_2,A_VE_AW_3_1,A_VE_AW_3_2,A_VE_AW_3_3,A_VE_AW_3_4,A_VE_AW_3_5,A_VE_PI_1,A_VE_PI_2,A_VE_PI_3,A_VE_BI_1_1,A_VE_BI_1_2,A_VE_BI_1_3,A_VE_BI_1_4,A_VE_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,A_AR_AW_1,A_AR_AW_2,A_AR_AW_3_1,A_AR_AW_3_2,A_AR_AW_3_3,A_AR_AW_3_4,A_AR_AW_3_5,A_AR_PI_1,A_AR_PI_2,A_AR_PI_3,A_AR_BI_1_1,A_AR_BI_1_2,A_AR_BI_1_3,A_AR_BI_1_4,A_AR_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,B_AR_AW_1,B_AR_AW_2,B_AR_AW_3_1,B_AR_AW_3_2,B_AR_AW_3_3,B_AR_AW_3_4,B_AR_AW_3_5,B_AR_PI_1,B_AR_PI_2,B_AR_PI_3,B_AR_BI_1_1,B_AR_BI_1_2,B_AR_BI_1_3,B_AR_BI_1_4,B_AR_BI_1_5,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,B_VE_AW_1,B_VE_AW_2,B_VE_AW_3_1,B_VE_AW_3_2,B_VE_AW_3_3,B_VE_AW_3_4,B_VE_AW_3_5,B_VE_PI_1,B_VE_PI_2,B_VE_PI_3,B_VE_BI_1_1,B_VE_BI_1_2,B_VE_BI_1_3,B_VE_BI_1_4,B_VE_BI_1_5,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,C_AR_AW_1,C_AR_AW_2,C_AR_AW_3_1,C_AR_AW_3_2,C_AR_AW_3_3,C_AR_AW_3_4,C_AR_AW_3_5,C_AR_PI_1,C_AR_PI_2,C_AR_PI_3,C_AR_BI_1_1,C_AR_BI_1_2,C_AR_BI_1_3,C_AR_BI_1_4,C_AR_BI_1_5,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,C_NE_PI_1,C_NE_PI_2,C_NE_PI_3,C_NE_BI_1_1,C_NE_BI_1_2,C_NE_BI_1_3,C_NE_BI_1_4,C_NE_BI_1_5,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,D_1,D_2,D_3,D_4,D_5,D_6,D_7,survey_design
2025-03-16 17:22:45,2025-03-16 17:28:20,IP Address,82.132.232.126,100,335,True,2025-03-16 17:28:21,R_2luxMivxrRktPZx,,,,,51.5638,-0.0765,anonymous,EN,"North Face, Columbia, Solomons, Timberlands, Doc Martens","On,Acronym,Undercover,Stussy,Goldwin,Nanamica,Stone Island,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,"North Face, Columbia","The North Face,Berrghaus,Patagonia,Columbia,Salomon,Arc'teryx",Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Monthly,£100–£200,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Price,Brand reputation",A
2025-03-17 16:24:08,2025-03-17 16:31:26,IP Address,158.143.155.104,100,437,True,2025-03-17 16:31:27,R_2U3pj7jHRkQmRsB,,,,,51.5017,-0.0617,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The North face, arcteryx, patagonia, Columbia ","The North Face,Patagonia,Columbia,Salomon,Mammut,Arc'teryx",Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,18–24,Female,"£1,500 - £2,000",Monthly,£200-£500,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Comfort",C
2025-03-17 16:24:41,2025-03-17 16:35:03,IP Address,58.84.143.17,100,622,True,2025-03-17 16:35:04,R_7ps9To6hBkMLg5r,,,,,-33.8715,151.2006,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"goldwin, arc’teryx, the north face, salomon","The North Face,Patagonia,Columbia,Salomon,Mammut,Jack Wolfskin,Helly Hensen,Arc'teryx",Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,"Goldwin, stone island, white mountaineering, snow peak, and wander, acg, arc’teryx ,acronym","On,Acronym,Undercover,Stussy,Goldwin,Nanamica,Stone Island,Carhartt,Veilance",Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£2,000 - £2,500",Monthly,£100–£200,"Online retailers,Department stores,Sustainable fashion brands","Style/fashion trends,Comfort,Price,Brand reputation,Sustainability",B
2025-03-17 16:33:34,2025-03-17 16:41:24,IP Address,35.214.107.177,100,470,True,2025-03-17 16:41:24,R_2QStaWcVuBKy2W4,,,,,51.5088,-0.093,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcteryx/ north face/ decent/kolon/ columbia,"The North Face,Patagonia,Columbia,Salomon,Mammut,Jack Wolfskin,Arc'teryx",Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,18–24,Female,"£1,000 - £1,500",Monthly,£25–£50,"Online retailers,Fast fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",C
2025-03-17 16:45:38,2025-03-17 16:54:18,IP Address,69.31.37.22,100,519,True,2025-03-17 16:54:19,R_3y0zsnMPIV87sel,,,,,42.3574,-71.0618,anonymous,EN,Uniqlo，Lululemon，zara，Alo,"Stussy,Stone Island,Carhartt",Agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,"arcteryx ","The North Face,Patagonia,Columbia,Salomon,Mammut,Helly Hensen,Arc'teryx",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,000 - £1,500",Every few months,£100–£200,"Online retailers,Department stores,Fast fashion brands,Other","Style/fashion trends,Comfort,Price",A
2025-03-17 16:47:54,2025-03-17 16:54:24,IP Address,103.214.222.143,100,390,True,2025-03-17 16:54:25,R_4ILBTF4WGEIXMj2,,,,,-33.8672,151.1997,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arceryx NorthFace Kailas RAB Columbia Anta Nike Descente ","The North Face,Berrghaus,Columbia,Salomon,Jack Wolfskin,Helly Hensen,Arc'teryx",Agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,18–24,Male,"£1,000 - £1,500",Every few months,£100–£200,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Comfort",C
2025-03-17 16:48:01,2025-03-17 16:56:23,IP Address,58.84.143.17,100,501,True,2025-03-17 16:56:23,R_3dKCq8gSjH6ef8l,,,,,-33.8715,151.2006,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCTERYX,"The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Columbia,"Undercover,Stussy,Stone Island,Carhartt",Disagree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Every few months,£50–£100,"Department stores,Fast fashion brands","Style/fashion trends,Comfort,Price",B
2025-03-17 16:48:55,2025-03-17 17:00:40,IP Address,58.84.137.152,100,704,True,2025-03-17 17:00:41,R_4ZUfq1KspfeUAJ8,,,,,-33.8399,151.0583,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arcteryx, Mammut, Patagonia, The North Face, Columbia ","The North Face,Patagonia,Columbia,Salomon,Mammut,Arc'teryx",Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Arcteryx, Lululemon ,( actually i don't quite understand the meaning of this question )","Stussy,Stone Island,Carhartt",Disagree,Disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£2,000 - £2,500",Monthly,£200-£500,"Online retailers,Luxury boutiques,Department stores","Comfort,Price,Sustainability",B
2025-03-17 16:59:43,2025-03-17 17:07:22,IP Address,205.198.65.220,100,458,True,2025-03-17 17:07:23,R_1GoEk8KOGmzXjaS,,,,,22.3539,114.1342,anonymous,EN,"Uniqlo, Muji, Arc’Teryx, The North Face, Nike, Adidas, Lululemon","On,Acronym,Undercover,Stussy,Goldwin,Nanamica,Stone Island,Carhartt,Veilance",Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Agree,"Acronym, The North Face, Arc’’Teryx","The North Face,Patagonia,Columbia,Salomon,Mammut,Quachua,Jack Wolfskin,Helly Hensen,Arc'teryx",Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£2,000 - £2,500",Weekly,£100–£200,"Luxury boutiques,Department stores,Sustainable fashion brands",Comfort,A
2025-03-17 16:54:02,2025-03-17 17:07:56,IP Address,149.34.145.68,100,833,True,2025-03-17 17:07:56,R_8dpaeIuEEosmpvV,,,,,51.5128,-0.0638,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Face, Camel ","The North Face,Patagonia,Columbia",Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Lululemon ",On,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,000 - £1,500",Monthly,£100–£200,"Online retailers,Department stores","Style/fashion trends,Comfort,Price",B
2025-03-17 16:53:29,2025-03-17 17:08:38,IP Address,108.5.3.246,100,908,True,2025-03-17 17:08:38,R_5ixIeKtynG57bco,,,,,40.7053,-74.0866,anonymous,EN,ARC'TERYX；CAMEL；The North Face；ACRONYM,"On,Acronym,Undercover,Stussy,Stone Island,Carhartt,Veilance",Somewhat agree,Somewhat disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,The North Face；Arc'teryx；Burton,"The North Face,Columbia,Salomon,Arc'teryx",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,000 - £1,500",Monthly,£200-£500,Online retailers,Style/fashion trends,A
2025-03-17 17:13:29,2025-03-17 17:19:36,IP Address,158.143.106.199,100,366,True,2025-03-17 17:19:36,R_2JFxKR7IbYofyYG,,,,,51.5081,-0.1278,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcteryx,"The North Face,Salomon,Arc'teryx",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,uniqlo northface stussy,Stussy,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,500 - £2,000",Monthly,£100–£200,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",B
2025-03-17 17:16:53,2025-03-17 17:20:31,IP Address,163.119.42.203,100,218,True,2025-03-17 17:20:31,R_2LbvUYjJu6hPJpn,,,,,51.5245,-0.1567,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On, 迪桑特，始祖鸟","The North Face,Patagonia,Columbia,Salomon,Jack Wolfskin,Arc'teryx",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,18–24,Male,"£2,000 - £2,500",Every few months,£100–£200,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",C
2025-03-17 17:13:28,2025-03-17 17:25:30,IP Address,158.143.224.46,100,721,True,2025-03-17 17:25:30,R_8dFYIF86T2qaMBt,,,,,51.4981,-0.0886,anonymous,EN,"Brandy Melville, Muji, Uniqio, Zara, HM, COS, Other stories, Mango, Hollister","On,Stussy,Stone Island",Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,"Arcteryx, Adidas, Nike, Burton, Decathlon, On","The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,000 - £1,500",Monthly,£200-£500,"Online retailers,Fast fashion brands","Style/fashion trends,Brand reputation",A
2025-03-17 17:24:47,2025-03-17 17:28:32,IP Address,158.143.192.233,100,224,True,2025-03-17 17:28:32,R_8cZk7lCIxDzv33P,,,,,51.4981,-0.0886,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcteryx,"The North Face,Patagonia,Columbia,Salomon,Mammut,Quachua,Jack Wolfskin,Helly Hensen,Arc'teryx",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,uniqlo,"On,Undercover,Stussy,Stone Island,Carhartt,Veilance",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,500 - £2,000",Monthly,£200-£500,"Online retailers,Luxury boutiques,Fast fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",B
2025-03-17 17:21:53,2025-03-17 17:29:19,IP Address,85.255.232.180,100,445,True,2025-03-17 17:29:19,R_2q8oVCoJbU0bySv,,,,,51.4964,-0.1224,anonymous,EN,"Zara COS ","On,Undercover,Stussy,Nanamica,Stone Island,Carhartt",Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,NorthFace,"The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,000 - £1,500",Monthly,£100–£200,"Online retailers,Department stores,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Price,Brand reputation,Sustainability",A
2025-03-17 17:26:14,2025-03-17 17:35:33,IP Address,209.35.68.215,100,558,True,2025-03-17 17:35:33,R_2cepYvcCLSejwMF,,,,,51.4981,-0.0886,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arcteryx, The North face, Columbia","The North Face,Patagonia,Columbia,Salomon,Helly Hensen,Arc'teryx",Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Agree,18–24,Male,"Over £2,500",Monthly,£200-£500,"Online retailers,Luxury boutiques,Department stores","Style/fashion trends,Comfort,Price,Brand reputation",C
2025-03-17 17:29:36,2025-03-17 17:35:52,IP Address,158.143.117.108,100,376,True,2025-03-17 17:35:52,R_2EbRyLMfe71GiMc,,,,,51.5017,-0.0617,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ArcteryX Salomon Alo Lululemon Hoka On StoneIsland ","The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,None,"On,Undercover,Stussy,Goldwin,Nanamica,Stone Island,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25–34,Female,"Over £2,500",Every few months,£100–£200,Luxury boutiques,"Comfort,Price",B
2025-03-17 17:23:47,2025-03-17 17:39:25,IP Address,46.3.240.105,100,938,True,2025-03-17 17:39:26,R_6bNnP0ckiAP5QA1,,,,,22.3539,114.1342,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the north face, Arc'teryx, under armor, gap, champion, puma, nike, adidas, Columbia ","The North Face,Columbia,Salomon,Quachua,Jack Wolfskin,Arc'teryx",Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,NA,"Undercover,Stussy,Stone Island",Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,500 - £2,000",Rarely,£100–£200,"Online retailers,Department stores","Comfort,Brand reputation",B
2025-03-17 18:33:10,2025-03-17 18:40:36,IP Address,49.227.233.49,100,446,True,2025-03-17 18:40:37,R_9gGhQxIjsyWzHHM,,,,,-41.2971,174.7932,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mountain warehouse , Kathmandu , Patagonia, the north face ","The North Face,Patagonia,Columbia,Helly Hensen",Agree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,25–34,Male,"£1,500 - £2,000",Monthly,£100–£200,"Online retailers,Department stores","Style/fashion trends,Comfort,Price",C
